Date,Price,Type,Crop
2007-05-31,2131.8947368421054,Actual,Carrot
2007-06-30,2786.9791666666665,Actual,Carrot
2007-07-31,3007.0,Actual,Carrot
2007-08-31,3642.6073232323233,Actual,Carrot
2007-09-30,2415.1426418814044,Actual,Carrot
2007-10-31,2057.5738560570603,Actual,Carrot
2007-11-30,1192.6469023720783,Actual,Carrot
2007-12-31,1013.4183148505374,Actual,Carrot
2008-01-31,686.7139898625096,Actual,Carrot
2008-02-29,599.2348873108136,Actual,Carrot
2008-03-31,674.7171414733019,Actual,Carrot
2008-04-30,945.7500959936359,Actual,Carrot
2008-05-31,1516.7727272727273,Actual,Carrot
2008-06-30,2144.958333333333,Actual,Carrot
2008-07-31,2357.003472222222,Actual,Carrot
2008-08-31,2829.4192641001046,Actual,Carrot
2008-09-30,2615.0062784926154,Actual,Carrot
2008-10-31,2241.9203910159554,Actual,Carrot
2008-11-30,1924.2488917845728,Actual,Carrot
2008-12-31,1047.7114818391588,Actual,Carrot
2009-01-31,666.4660346704144,Actual,Carrot
2009-02-28,596.5522710466414,Actual,Carrot
2009-03-31,688.8087813582375,Actual,Carrot
2009-04-30,1477.296513679622,Actual,Carrot
2009-05-31,2920.3079710144925,Actual,Carrot
2009-06-30,4163.541666666667,Actual,Carrot
2009-07-31,4877.0,Actual,Carrot
2009-08-31,3822.089196798185,Actual,Carrot
2009-09-30,2852.122739313223,Actual,Carrot
2009-10-31,2196.2014982005167,Actual,Carrot
2009-11-30,1718.0831250264712,Actual,Carrot
2009-12-31,1207.1650425939786,Actual,Carrot
2010-01-31,929.8849548269711,Actual,Carrot
2010-02-28,845.172851656344,Actual,Carrot
2010-03-31,884.7830298834796,Actual,Carrot
2010-04-30,1556.7981026352238,Actual,Carrot
2010-05-31,2074.170634920635,Actual,Carrot
2010-06-30,2302.82196969697,Actual,Carrot
2010-07-31,3084.391304347826,Actual,Carrot
2010-08-31,3938.434007563318,Actual,Carrot
2010-09-30,3315.3854724326434,Actual,Carrot
2010-10-31,2709.6405262612757,Actual,Carrot
2010-11-30,1974.4276610850777,Actual,Carrot
2010-12-31,1229.298594513566,Actual,Carrot
2011-01-31,877.7403383754347,Actual,Carrot
2011-02-28,717.83440449207,Actual,Carrot
2011-03-31,784.9761594685887,Actual,Carrot
2011-04-30,1392.638134064426,Actual,Carrot
2011-05-31,2678.516025641026,Actual,Carrot
2011-06-30,3314.0760869565215,Actual,Carrot
2011-07-31,4035.09375,Actual,Carrot
2011-08-31,4738.536375661376,Actual,Carrot
2011-09-30,4741.1671264184615,Actual,Carrot
2011-10-31,3301.296818449559,Actual,Carrot
2011-11-30,2845.668391550014,Actual,Carrot
2011-12-31,2196.022017108782,Actual,Carrot
2012-01-31,1356.3248292562218,Actual,Carrot
2012-02-29,1189.1504027398462,Actual,Carrot
2012-03-31,1705.4986189178155,Actual,Carrot
2012-04-30,2383.836883680019,Actual,Carrot
2012-05-31,2536.7846726095254,Actual,Carrot
2012-06-30,2524.269047619048,Actual,Carrot
2012-07-31,3202.7564102564106,Actual,Carrot
2012-08-31,3887.828478465978,Actual,Carrot
2012-09-30,4002.7356202045085,Actual,Carrot
2012-10-31,3220.8061110686617,Actual,Carrot
2012-11-30,2450.202276371748,Actual,Carrot
2012-12-31,1712.6709210260217,Actual,Carrot
2013-01-31,1200.26356835242,Actual,Carrot
2013-02-28,949.8809236032286,Actual,Carrot
2013-03-31,939.2881368589005,Actual,Carrot
